Datetime,Temperature,Description
2024-06-02 15:00:00,17.87,overcast clouds
2024-06-02 18:00:00,17.63,broken clouds
2024-06-02 21:00:00,13.99,few clouds
2024-06-03 00:00:00,11.81,clear sky
2024-06-03 03:00:00,10.22,clear sky
2024-06-03 06:00:00,11.85,clear sky
2024-06-03 09:00:00,17.22,broken clouds
2024-06-03 12:00:00,21.28,broken clouds
2024-06-03 15:00:00,22.15,overcast clouds
2024-06-03 18:00:00,19.99,overcast clouds
2024-06-03 21:00:00,16.44,overcast clouds
2024-06-04 00:00:00,15.01,overcast clouds
2024-06-04 03:00:00,13.84,overcast clouds
2024-06-04 06:00:00,15.11,overcast clouds
2024-06-04 09:00:00,19.46,light rain
2024-06-04 12:00:00,21.78,light rain
2024-06-04 15:00:00,20.8,overcast clouds
2024-06-04 18:00:00,20.16,light rain
2024-06-04 21:00:00,16.8,light rain
2024-06-05 00:00:00,15.19,overcast clouds
2024-06-05 03:00:00,14.07,broken clouds
2024-06-05 06:00:00,14.26,broken clouds
2024-06-05 09:00:00,15.93,overcast clouds
2024-06-05 12:00:00,20.9,overcast clouds
2024-06-05 15:00:00,22.42,broken clouds
2024-06-05 18:00:00,19.39,scattered clouds
2024-06-05 21:00:00,16.92,broken clouds
2024-06-06 00:00:00,14.32,overcast clouds
2024-06-06 03:00:00,12.71,broken clouds
2024-06-06 06:00:00,13.39,overcast clouds
2024-06-06 09:00:00,17.62,overcast clouds
2024-06-06 12:00:00,20.77,overcast clouds
2024-06-06 15:00:00,22.41,broken clouds
2024-06-06 18:00:00,20.17,broken clouds
2024-06-06 21:00:00,16.55,clear sky
2024-06-07 00:00:00,13.56,clear sky
2024-06-07 03:00:00,13.57,broken clouds
2024-06-07 06:00:00,13.11,scattered clouds
2024-06-07 09:00:00,17.33,overcast clouds
2024-06-07 12:00:00,20.81,overcast clouds
